update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what,update/5/when,update/5/what
1165477545,Platform,1182412585,JDT,167086,,,,,,,,
1165307526,Platform,1182415238,JDT,166783,,,,,,,,
1165037202,Platform,1182415382,JDT,166594,,,,,,,,
1164641093,Platform,1182415567,JDT,165973,,,,,,,,
1182422445,Platform,1182496913,Community,193784,1183994487,JDT,,,,,,
1182506525,Platform,1182517142,JDT,194006,,,,,,,,
1182518592,Platform,1182770981,JDT,194034,,,,,,,,
1182859956,Platform,1182947737,JDT,194470,,,,,,,,
1183018286,Platform,1183020856,JDT,194771,,,,,,,,
1183162401,Platform,1183180292,JDT,195004,,,,,,,,
1183429609,Platform,1183554537,JDT,195228,,,,,,,,
1183553098,PDE,1183606442,JDT,195432,,,,,,,,
1183448568,Platform,1183716697,JDT,195259,,,,,,,,
1183609385,Platform,1183982837,JDT,195506,,,,,,,,
1184145171,JDT,1184145431,Platform,196169,1184146823,JDT,,,,,,
1184224704,JDT,1184554809,Platform,196305,1185764480,JDT,,,,,,
1183721052,Platform,1184657788,JDT,195680,,,,,,,,
1184080534,Platform,1184659166,JDT,196075,,,,,,,,
1184185238,Platform,1184659516,JDT,196254,,,,,,,,
1184653390,Platform,1184748651,JDT,196804,,,,,,,,
1184763794,Platform,1184839040,JDT,197011,,,,,,,,
1185519261,Platform,1185784499,JDT,198096,,,,,,,,
1185537761,Platform,1185784659,JDT,198142,,,,,,,,
1185804560,Platform,1185867649,JDT,198318,,,,,,,,
1185775216,Platform,1185880646,JDT,198253,,,,,,,,
1186035052,Platform,1186043388,JDT,198658,,,,,,,,
1185981818,Platform,1186431332,JDT,198592,,,,,,,,
1186399965,Platform,1186556081,JDT,198963,,,,,,,,
1186557285,Platform,1186558957,JDT,199247,,,,,,,,
1186570087,Platform,1186570466,JDT,199289,,,,,,,,
1186577790,Platform,1186578224,JDT,199308,,,,,,,,
1187235532,PDE,1187246850,JDT,200171,,,,,,,,
1187684156,Platform,1187685272,JDT,200685,,,,,,,,
1187602313,Platform,1187702681,JDT,200569,,,,,,,,
1187928238,Platform,1187958294,JDT,201062,,,,,,,,
1188022002,Platform,1188203669,JDT,201160,,,,,,,,
1188127656,Platform,1188203780,JDT,201182,,,,,,,,
1188207783,Platform,1188208192,JDT,201278,,,,,,,,
1188243254,Platform,1188379677,JDT,201350,,,,,,,,
1188568903,Platform,1188570240,JDT,201950,,,,,,,,
1189050235,Platform,1189070239,JDT,202412,,,,,,,,
1189125228,Platform,1189523744,JDT,202572,,,,,,,,
1189177610,Platform,1189523822,JDT,202694,,,,,,,,
1189576421,Platform,1189577306,JDT,203057,,,,,,,,
1189579488,Platform,1189589080,JDT,203061,,,,,,,,
1190087559,Platform,1190112338,JDT,203710,,,,,,,,
1190201217,Platform,1190203922,JDT,204019,,,,,,,,
1189401179,Platform,1190893653,JDT,202781,,,,,,,,
1191333941,Platform,1191426556,JDT,205235,,,,,,,,
1191221889,Platform,1191445869,JDT,205046,,,,,,,,
1190197579,PDE,1191595405,JDT,204006,,,,,,,,
1191617325,Platform,1191649011,JDT,205615,,,,,,,,
1191998327,Platform,1192002639,JDT,205905,,,,,,,,
1191970696,Platform,1192018244,JDT,205890,,,,,,,,
1193136966,Platform,1193143420,JDT,207197,,,,,,,,
1193117511,Platform,1193172489,JDT,207146,,,,,,,,
1192598303,JDT,1193213865,Platform,206601,1194502584,JDT,,,,,,
1193314423,Platform,1193359772,JDT,207492,,,,,,,,
1193383130,Platform,1193386257,JDT,207573,,,,,,,,
1193645376,Platform,1193740372,JDT,207770,,,,,,,,
1193688503,PDE,1193806676,JDT,207890,,,,,,,,
1193782235,Platform,1193817053,JDT,208173,,,,,,,,
1193709354,Platform,1193819114,JDT,207912,,,,,,,,
1194241356,PDE,1194249954,JDT,208751,,,,,,,,
1194111990,Platform,1194260447,JDT,208683,,,,,,,,
1194356863,Platform,1194420994,JDT,208936,,,,,,,,
1194591032,Platform,1194599075,JDT,209326,,,,,,,,
1194593178,Platform,1194599188,JDT,209330,,,,,,,,
1194956530,Platform,1194957261,JDT,209679,,,,,,,,
1195081353,Platform,1195126591,JDT,209898,,,,,,,,
1195160500,Platform,1195162160,JDT,210052,,,,,,,,
1195152464,Platform,1195198227,JDT,210046,,,,,,,,
1195178470,Platform,1195203922,JDT,210065,,,,,,,,
1195216717,JDT,1195220385,Platform,210126,1195442631,JDT,,,,,,
1195707788,Platform,1195718135,JDT,210638,,,,,,,,
1163791469,Platform,1196135015,JDT,165063,,,,,,,,
1196153532,Platform,1196242987,JDT,211063,,,,,,,,
1196209022,Platform,1196353632,JDT,211167,,,,,,,,
1196730706,Platform,1196759220,JDT,211841,,,,,,,,
1196757261,Platform,1196782014,JDT,211880,,,,,,,,
1196781829,Platform,1196838804,JDT,211924,,,,,,,,
1196859814,Platform,1196924543,JDT,212053,,,,,,,,
1197026753,Platform,1197041068,JDT,212286,,,,,,,,
1197087880,Platform,1197273881,JDT,212322,,,,,,,,
1197343934,Platform,1197356052,JDT,212512,,,,,,,,
1192185369,Platform,1197547851,JDT,206165,,,,,,,,
1198034377,JDT,1198038518,Platform,213427,1198049467,JDT,1198228622,Platform,1198233301,JDT,,
1199662822,Platform,1199698979,JDT,214450,,,,,,,,
1199734038,Platform,1199734082,JDT,214563,,,,,,,,
1200074398,Platform,1200299462,JDT,215098,,,,,,,,
1197366302,Platform,1200889812,JDT,212576,,,,,,,,
1201083777,Platform,1201089555,JDT,216299,,,,,,,,
1201250305,Platform,1201255722,PDE,216587,1201259168,JDT,,,,,,
1201415053,Platform,1201510481,JDT,216697,,,,,,,,
1201602709,Platform,1201613839,JDT,216930,,,,,,,,
1201627194,Platform,1201639810,JDT,217011,,,,,,,,
1161351419,Platform,1201705353,JDT,161781,,,,,,,,
