update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what
1154507900,normal,1168445224,major,152601,,,,,,
1168487073,major,1168487145,normal,170184,,,,,,
1168474421,normal,1168513108,minor,170161,,,,,,
1166612442,normal,1168848249,major,168738,,,,,,
1168854768,normal,1168854820,minor,170489,,,,,,
1168868035,normal,1168875825,critical,170519,,,,,,
1168425188,major,1168936927,blocker,170095,,,,,,
1169003958,normal,1169003967,trivial,170738,,,,,,
1168970825,normal,1169012763,major,170710,,,,,,
1165097204,normal,1169030698,blocker,166613,,,,,,
1168403025,blocker,1169115082,major,170068,,,,,,
1169520946,normal,1169527764,major,171361,,,,,,
1169562953,normal,1169564384,critical,171452,,,,,,
1169439980,major,1169630753,normal,171201,,,,,,
1169649825,normal,1169650252,critical,171598,,,,,,
1169065345,blocker,1169651388,normal,170856,,,,,,
1169644543,major,1169706026,normal,171586,,,,,,
1169650033,critical,1169714568,normal,171599,,,,,,
1169714056,enhancement,1169715682,normal,171669,,,,,,
1169714405,enhancement,1169715703,normal,171670,,,,,,
1168315198,normal,1169739693,major,169943,,,,,,
1148027908,normal,1169742746,minor,142758,,,,,,
1169796785,normal,1169801597,trivial,171790,,,,,,
1164122434,normal,1169815729,major,165376,,,,,,
1170062337,normal,1170062710,major,172020,,,,,,
1153122914,major,1170145378,normal,150805,,,,,,
1170160724,normal,1170160948,major,172201,,,,,,
1150962367,trivial,1170168841,major,148212,,,,,,
1170135971,major,1170206500,critical,172148,,,,,,
1169546000,normal,1170229932,critical,171415,,,,,,
1170240486,normal,1170242390,critical,172332,,,,,,
1170248761,normal,1170248831,major,172357,,,,,,
1169622660,normal,1170320372,major,171532,,,,,,
1152257737,normal,1170333056,critical,149970,,,,,,
1169067821,normal,1170351310,major,170857,,,,,,
1169801718,normal,1170354965,major,171800,,,,,,
1170345096,normal,1170363080,critical,172575,1170414797,major,,,,
1170428474,major,1170438021,normal,172715,,,,,,
1170483454,major,1170584682,normal,172757,,,,,,
1169697034,minor,1170645395,normal,171638,,,,,,
1170685653,critical,1170688191,normal,172912,,,,,,
1154593320,normal,1170734538,critical,152736,1170742345,major,,,,
1170736195,normal,1170739228,major,173016,,,,,,
1170843642,normal,1170844707,minor,173290,,,,,,
1170904009,normal,1170907034,minor,173417,,,,,,
1170922064,major,1170922608,normal,173440,,,,,,
1170922271,critical,1170924891,blocker,173442,,,,,,
1171014432,critical,1171016431,normal,173657,,,,,,
1170948666,blocker,1171016942,critical,173538,,,,,,
1171007826,normal,1171274816,major,173640,,,,,,
1170959304,normal,1171292430,major,173571,,,,,,
1165157683,blocker,1171340665,normal,166622,,,,,,
1171362404,critical,1171362693,normal,174021,,,,,,
1168610980,normal,1171365532,major,170356,,,,,,
1171025982,normal,1171389897,major,173678,,,,,,
1171470764,normal,1171504518,enhancement,174235,1172548351,normal,,,,
1171554896,critical,1171609989,major,174378,,,,,,
