update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what,update/4/when,update/4/what,update/5/when,update/5/what
1220602467,Difficulty with rename in Navigator,1221103795,[common navigator] Difficulty with rename in Navigator,246378,,,,,,,,
1221028472,[javadoc] {@inheritedDoc} tag should remove all missing tag warnings,1221182118,[javadoc] {@inheritDoc} tag should remove all missing tag warnings,246850,,,,,,,,
1221243877,Deprecation problem on inherited return type,1221454037,[compiler] Deprecation problem on inherited return type,247206,,,,,,,,
1221472623,[compiler],1221472655,[compiler] Array clone return type should be governed by source level instead of compliance,247307,1221472673,[1.5][compiler] Array clone return type should be governed by source level instead of compliance,,,,,,
1221573502,SearchEngine.searchDeclarationsOfReferencedTypes does not return the correct reference when type is in a source folder,1221589894,[search] SearchEngine.searchDeclarationsOfReferencedTypes does not return the correct reference when type is in a source folder,247551,,,,,,,,
1221732227,Errors in log when working disconnected,1221732863,[misc] Errors in log from fetching Javadoc when working disconnected,247845,,,,,,,,
1221802226,[1.5][compiler] I,1221802307,[1.5][compiler] IllegalAccessError: tried to access class p.IA from class X,247953,,,,,,,,
1221671394,"Move a class to root package, lose block comment at the top",1222055100,"[model] Move a class to root package, lose block comment at the top",247757,,,,,,,,
1152698309,AST does note expose method bindings for non-visible inherited field,1222078269,[compiler] AST does not expose method bindings for non-visible inherited field,150409,,,,,,,,
1222076689,NetBeans Java 6 apt example doesn't work in Eclipse,1222078942,Implement FileObject.toUri(),248156,,,,,,,,
1222141512,Save participant fails when 'new' keyword is used twice,1222147073,[dom] Save participant fails when 'new' keyword is used twice,248246,,,,,,,,
1222147509,'Add final modifier' save action collides with 'rename' refactoring,1222156761,[refactoring] 'Add final modifier' save action collides with 'rename' refactoring,248254,,,,,,,,
1222169092,Javadoc bug in StringLiteral#setLiteralValue(String),1222171843,[DOM] Javadoc bug in StringLiteral#setLiteralValue(String),248313,,,,,,,,
1221642843,Problem in saving files,1222197238,[compiler] AIOOBE inside missing type reporting,247666,1222921804,[1.5][compiler] AIOOBE inside missing type reporting,,,,,,
1222170815,"[compiler] Valid Java source produces class file that doesn't verify (VerifyError, javac compiles correctly)",1222197328,"[compiler][1.5] Valid Java source produces class file that doesn't verify (VerifyError, javac compiles correctly)",248319,,,,,,,,
1222166178,Editor content does not match content the file,1222239887,[misc] Editor content does not match content the file,248303,,,,,,,,
1222175272,Eclipse quick fix suggests changing type to ? extends Type,1222240859,[quick fix] Eclipse quick fix suggests changing type to ? extends Type,248329,,,,,,,,
1222168551,IAnnotatable#getAnnotations() does not work for binary members,1222329402,[model] IAnnotatable#getAnnotations() does not work for standard annotations on binary members,248309,,,,,,,,
1222168771,IMemberValuePair#getValue() should also work for negative numerals,1222333465,[model] IMemberValuePair#getValue() should also work for negative numerals,248312,,,,,,,,
1222356250,Completition proposal leaks file handle,1222394261,[implementation] AbstractJavaCompletionProposal leaks file handle,248660,,,,,,,,
1222355807,Deleting source folder leaks file handle,1222394886,[implementation] Deleting source folder leaks file handle,248659,,,,,,,,
1222308116,Incorrect indentation guess after newline,1222399038,[typing] Incorrect indentation guess after newline,248537,,,,,,,,
1168827230,Correct Indent Ctr+I problems,1222399081,[typing] switch ... default not indented correctly,170431,,,,,,,,
1222611012,Odd API in ReferenceMatch,1222653746,[search] Odd API in ReferenceMatch,248878,,,,,,,,
1222653193,Wrong warning 'The local variable 'var' is never read'.,1222656322,[1.5][compiler] Wrong warning 'The local variable 'var' is never read'.,248897,,,,,,,,
