update/0/when,update/0/what,update/1/when,update/1/what,_id,update/2/when,update/2/what,update/3/when,update/3/what
1180671721,minor,1213070851,normal,190438,,,,
1213281376,major,1213321014,normal,236965,,,,
1213674490,normal,1213675897,minor,237442,,,,
1143113006,normal,1213759653,minor,133027,,,,
1213840110,major,1213843606,normal,237750,,,,
1213951427,normal,1213951524,minor,237942,,,,
1214325933,blocker,1214400072,major,238350,,,,
1215008482,critical,1215082649,major,239347,,,,
1215073516,major,1215146144,normal,239447,,,,
1215067089,enhancement,1215146587,trivial,239433,,,,
1215357759,normal,1215420770,enhancement,239735,1220406044,normal,,
1215274785,normal,1215422101,minor,239695,,,,
1211403621,enhancement,1215671973,normal,233374,,,,
1215699876,major,1215998697,trivial,240399,,,,
1216170654,normal,1216174582,critical,241044,,,,
1184225362,enhancement,1216194283,normal,196308,,,,
1216740441,normal,1216903076,critical,241751,1219657972,normal,,
1216960849,normal,1217044143,major,242059,,,,
1218018752,major,1218026705,normal,243336,,,,
1218021804,major,1218186351,normal,243346,,,,
1217503617,critical,1219017380,major,242762,,,,
1218011406,major,1219223798,normal,243311,,,,
1219240742,normal,1219283495,minor,244742,,,,
1220114638,normal,1220241829,minor,245777,,,,
1219998658,blocker,1220341370,major,245700,,,,
1220323394,normal,1220348625,major,245942,,,,
1220419483,normal,1220422928,minor,246070,,,,
1183390774,normal,1220575239,critical,195183,1243948988,major,,
1220777379,major,1220838698,normal,246490,,,,
1163480824,enhancement,1221728336,normal,164449,,,,
1222768209,minor,1222941753,normal,249140,,,,
1220588339,blocker,1222958774,major,246346,,,,
1223103173,major,1223259818,normal,249677,,,,
1223263503,normal,1223267146,minor,249732,,,,
1222775726,normal,1223277159,major,249155,,,,
1222166178,normal,1223370865,major,248303,,,,
1212131435,major,1223450888,normal,234843,,,,
1223613131,normal,1223628305,minor,250412,,,,
1224565724,blocker,1224576545,critical,251518,1224645878,major,,
1224603891,normal,1224668818,major,251629,,,,
1224732290,normal,1224742577,major,251817,,,,
1224680102,normal,1224751725,major,251758,,,,
1223496823,normal,1225092665,major,250211,,,,
1225170610,blocker,1225195131,major,252321,,,,
1225206952,normal,1225253153,minor,252493,,,,
1226053771,normal,1226053998,major,254611,,,,
1226474750,normal,1226476426,blocker,255031,,,,
1227071152,enhancement,1227180986,normal,255770,,,,
1227265316,critical,1227496941,normal,256147,,,,
1228371317,normal,1228371878,minor,257509,,,,
1228452900,normal,1228452965,major,257695,,,,
1228798619,normal,1228798647,minor,258049,,,,
1228809477,normal,1228809609,minor,258072,,,,
1228810444,normal,1228818351,minor,258078,,,,
1228804672,normal,1228820820,minor,258059,,,,
1229316776,normal,1229316833,minor,258792,,,,
1230992238,normal,1231126510,minor,259896,,,,
1231340508,normal,1231391976,major,260318,,,,
1232622936,normal,1232676365,trivial,262050,,,,
1233034620,normal,1233046372,major,262532,,,,
1233041046,normal,1233046883,major,262538,,,,
1233153020,normal,1233161498,blocker,262820,1233197698,critical,,
1233822734,normal,1233823010,critical,263784,,,,
1194873252,normal,1233901105,major,209537,,,,
1234129322,major,1234147103,trivial,264120,,,,
1233902413,normal,1234163911,major,263935,,,,
1234279382,normal,1234337558,major,264421,,,,
1234276173,normal,1234362256,major,264416,,,,
1234469821,minor,1234494675,normal,264797,,,,
1234369847,trivial,1234496553,normal,264606,,,,
1234637978,normal,1234785909,minor,264950,1234865882,normal,,
1234872447,normal,1234931905,enhancement,265192,1234931920,normal,,
1235352327,normal,1235361709,minor,265789,,,,
1236651002,normal,1236654675,critical,267773,,,,
1236660940,normal,1236662955,trivial,267802,,,,
1236661277,normal,1236682174,major,267804,,,,
1236658035,blocker,1236929000,critical,267789,,,,
1237026760,major,1237027343,critical,268639,,,,
1237206884,normal,1237207567,major,268837,,,,
1237363331,normal,1237368513,trivial,269180,,,,
1237371091,blocker,1237805073,normal,269208,,,,
1237977270,normal,1237977350,major,269985,,,,
1238376168,normal,1238378371,major,270409,,,,
1238646300,trivial,1238646875,normal,270943,,,,
1239332364,normal,1239332388,major,271875,,,,
1239881176,minor,1239934930,normal,272532,,,,
1239935605,major,1240303839,normal,272655,,,,
1240466995,normal,1240815934,minor,273420,,,,
1240828303,normal,1240829054,major,273907,,,,
1240906041,normal,1240913196,major,274041,,,,
1236089882,major,1240987436,normal,266924,,,,
1146559338,normal,1241090407,trivial,139697,,,,
1231888614,minor,1241170549,critical,260968,,,,
1240915017,normal,1241602103,trivial,274114,,,,
1241618896,normal,1241688030,trivial,275215,,,,
1241771997,major,1241783685,minor,275467,,,,
1242638554,minor,1242704432,trivial,276732,,,,
1242721382,minor,1242782717,trivial,276906,,,,
1155594866,normal,1242785748,minor,153865,,,,
1208936494,minor,1242875984,trivial,228412,,,,
1242205722,normal,1243061113,major,276111,1244702452,blocker,1244707389,major
1242960233,normal,1243217786,minor,277432,,,,
1243228686,major,1243229534,critical,277669,,,,
1243837370,normal,1243908634,minor,278612,,,,
1227846207,normal,1244004959,enhancement,256869,1244005519,normal,,
1244470287,normal,1244511976,trivial,279521,,,,
1244629359,normal,1244629374,major,279826,,,,
1244788858,critical,1244804176,major,280068,,,,
1242727833,normal,1245310248,major,276938,,,,
1245319282,blocker,1245373529,major,280796,1245373612,blocker,1245919968,normal
1237264752,major,1245377164,normal,268933,,,,
1245072884,normal,1245717039,trivial,280333,,,,
1245931860,normal,1245932180,major,281557,,,,
1245641237,normal,1246855807,minor,281051,,,,
1246273039,normal,1246952653,critical,281871,1246952947,major,,
1247637083,enhancement,1247708531,normal,283533,,,,
1198072417,minor,1249359153,normal,213519,,,,
1248812518,critical,1250064841,normal,284953,,,,
1243936645,critical,1250065175,normal,278816,,,,
1250666182,major,1250669567,normal,287055,,,,
1251019466,normal,1251079024,trivial,287375,,,,
